role,location,title,company,description,created
data analyst,Delhi,Senior Data Analyst I,RELX INC,"About Our Team The Content and Data Analytics team is part of DataOps, which is an integral part of Global Operations at Elsevier. We provide data analysis services, primarily using Databricks, and mostly serve product owners and data scientists of Elsevier's Research Data Platform. Our work contrib",2025-07-20T12:02:48Z
data analyst,Delhi,Collibra Data Analyst for Insurance Domain,The Techgalore,"Collibra Data Analyst for Insurance Domain (Collibra Technical Analyst) Exp 5 Remote Strong understanding of data quality dimensions (accuracy, completeness, consistency, timeliness). Experience in data issue lifecycle management, from identification to resolution. Ability to analyze data inconsiste",2025-07-03T20:36:07Z
data analyst,Delhi,Data Analyst (Remote Sri Lanka and India),HireHawk,"Position: Accounting Specialist Location: Remote India and Sri Lanka Working hours: 40 hrs per week, 8 am - 5 pm PST Salary Range : Competitive salary About the company: Born in Los Angeles, is known for beautiful heirloom pieces that will live in your closet forever. The cornerstone of the companie",2025-05-13T20:25:08Z
data analyst,Delhi,Senior Data Governance Analyst,Careers at Tide,"ABOUT TIDE At Tide, we are building a business management platform designed to save small businesses time and money. We provide our members with business accounts and related banking services, but also a comprehensive set of connected administrative solutions from invoicing to accounting. Launched i",2025-06-30T03:17:29Z
data analyst,Delhi,Data QA Specialist,YipitData,"About Us: YipitData is the market-leading data and analytics firm. We analyze billions of data points every day to provide accurate, detailed insights across industries, including consumer brands, technology, software, and healthcare. Our insights team uses proprietary technology to identify, licens",2025-02-07T11:21:48Z
data analyst,Delhi,Data Analyst Manager | 4 to 9 yrs | For a leading QSR/FMCG brand | Noida & Gurugram,MetaMorph,"About MetaMorph: We at MetaMorph, empower startups to scale and innovate by placing people at the centre of their strategy. With a proven track record of supporting over 220 startups, we specialise in aligning talent with organizational needs, enhancing employee skills, and transforming employer bra",2025-08-01T08:14:13Z
data analyst,Delhi,Business Analyst,The Talent Keepers,"Interpret data, analyze results using statistical techniques and provide ongoing reports  Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality  Acquire data from primary or secondary data sources and maintain",2022-09-23T06:58:19Z
data analyst,Delhi,Jr. Data Scientist,Vital,"6 months of proven experience as a Data Scientist or Data Analyst Understanding of machine-learning and operations research Extensive knowledge of R, SQL and Excel Analytical mind and business acumen Strong Statistical understanding Problem-solving aptitude BSc/BA in Computer Science, Engineering or",2021-11-08T04:05:17Z
data analyst,Delhi,Programmer,Institute of Informatics & Communication,"Required Skills YII2/Laravel MVC Concepts PHP OOPs concepts HTTP Verbs and methods for RESTful services, REST verbs and status codes Bootstrap concepts Javascript (hoisting, closures, currying, scope and scope chain, memoization) Summary As a Programmer you will work in the Product Department, which",2021-03-31T04:44:43Z
data analyst,Delhi,Data Engineer,Niyati Tech,"Job Description Location- Sarita Vihar, Delhi (WFO) Experience- 4 years Relevant experience- 4 years is needed Notice period- Immediate-30 days Skills needed- Data Engineering, Python, Java, Scala, SQL, third party API, AWS, ETL. Interview process- F2F interview Position Overview: - As a Data Engine",2025-06-06T20:46:06Z
data analyst,Delhi,Fraud and Risk Analyst,EXL,"The Senior Statistical Data Analyst is responsible for designing unique analytic approaches to detect, assess, and recommend the optimal customer treatment to reduce frictions and enhance experience while properly managing fraud risk with data driven and statistical methods. You will analyze large a",2025-07-07T09:13:54Z
data analyst,Delhi,Growth Manager (Performance Marketing),VerSe Innovation,"Job Title: Growth Manager Experience Level: 2-3 years About the Company: VerSe Innovation’s proprietary technology platform powers over 350 million users, enabling them to consume content in their local languages through Dailyhunt. Our cutting-edge technology also drives India’s 1 and most engaging ",2025-08-01T10:31:58Z
data analyst,Delhi,Senior Data Engineer,HighLevel,"About HighLevel: HighLevel is an AI powered, all-in-one white-label sales & marketing platform that empowers agencies, entrepreneurs, and businesses to elevate their digital presence and drive growth. We are proud to support a global and growing community of over 2 million businesses, comprised of a",2025-07-31T17:12:08Z
data analyst,Delhi,Staff Data Engineer,Careers at Tide,"ABOUT TIDE At Tide, we are building a business management platform designed to save small businesses time and money. We provide our members with business accounts and related banking services, but also a comprehensive set of connected administrative solutions from invoicing to accounting. Launched i",2025-01-22T17:58:41Z
data analyst,Delhi,Senior Data Engineer (DBT/Snowflake),Careers at Tide,"ABOUT TIDE At Tide, we are building a business management platform designed to save small businesses time and money. We provide our members with business accounts and related banking services, but also a comprehensive set of connected administrative solutions from invoicing to accounting. Launched i",2025-06-06T02:58:08Z
data analyst,Delhi,Environmental HAZMAT Engineer - Scientist,Arkilos Inc.,Environmental HAZAMAT Engineer - Scientist with experience in Hazmat Documentation & Compliance Location: India (Remote/Hybrid with potential travel) Project Region: Asia and Central Asia Experience Level: 3-5 years Languages: Fluent in English; proficiency in Russian or experience with internationa,2025-07-26T08:46:59Z
data analyst,Delhi,Lead Data Engineer,Celebal Technologies,"Job Summary: We are looking for a Tech Lead – Data Engineering with 6 years of hands-on experience in designing and building robust data pipelines and architectures on the Azure cloud platform. The ideal candidate should have strong technical expertise in Azure Data Factory (ADF), Synapse Analytics,",2025-08-01T10:30:49Z
data analyst,Delhi,Lead Azure Data Engineer,Celebal Technologies,Job Title: Lead Azure Data Engineer Experience Level: Mid - Senior Level Location: Delhi Duration: Fulltime Experience Required: 6-8 Years Job Summary: We are looking for a Tech Lead – Data Engineering with 6 years of hands-on experience in designing and building robust data pipelines and architectu,2025-07-26T08:47:49Z
data analyst,Delhi,"Key Client Program Manager- India GDC, Gurugram",ERM,"Who is ERM? ERM is a leading global sustainability consulting firm, committed for nearly 50 years to helping organizations navigate complex environmental, social, and governance (ESG) challenges. We bring together a diverse and inclusive community of experts across regions and disciplines, providing",2025-07-29T17:10:04Z
data analyst,Delhi,Senior Manager- Data Intelligence|,Unnati,"Supporting today’s data driven business world, our client acts as a full-stack data intelligence platform which leverages granular and deep data from various sources, thus helping the decision-makers at the executive level. Their solutions include supply chain optimization, building footprints, trac",2022-06-01T06:12:55Z
data analyst,Delhi,Senior Data Modeler,ALIQAN Technologies,"Job Title: Senior Data Modeler Experience Required: 6 Years Location: Remote Employment Type: Full-time / Contract (Remote) Domain: Data Engineering / Analytics / Data Warehousing  Job Summary: We are seeking an experienced and detail-oriented Data Modeler with a strong background in conceptual, log",2025-07-29T17:07:23Z
data analyst,Delhi,Full Stack Developer,TalentXo,Responsibilities Work with development teams and product managers to ideate software solutions Design client-side and server-side architecture Build the front-end of applications through appealing visual design Develop and manage well-functioning databases and applications Write effective APIs Test ,2022-02-26T04:52:02Z
data analyst,Delhi,Data Scientist,SabPaisa,"Location: Delhi Experience: 5–8 Years Industry: Financial Services / Payments Job Summary We are looking for a skilled Data Modeler / Architect with 5–8 years of experience in designing, implementing, and optimizing robust data architectures in the financial payments industry. The ideal candidate wi",2025-08-01T08:15:10Z
data analyst,Delhi,Lead - NITI,Sattva Consulting,Position: Lead - NITI for States Employment type: 1 year contract with open to extension Location: Delhi Business Unit: Foundations Language preference: English and Hindi About Sattva We Partner to deliver social impact at scale Sattva Consulting is a global impact consulting firm from India. Since ,2025-07-29T18:17:05Z
data analyst,Delhi,Laravel Developer,Instantpay,We are looking for an experienced Backend Engineer to join our Technology team. You will be responsible for the server-side of our web applications. You’ll be working closely with our engineers to ensure system consistency and improve user experience. You’ll be part of a cross-functional team that’s,2023-02-18T01:11:14Z
data analyst,Delhi,Data Engineer,Fitfyles LLP,"Data Engineer FiFyles is changing lives As a Lead Architect for Data, you’re eager to jump into a brand new learning experience. We need a Lead Architect for Data to have fun analyzing complex, massive data sets, building amazing tools and gaining insights from it all. If this sounds like you, pleas",2024-07-31T03:20:18Z
data analyst,Delhi,Fullstack Developer,SveltetechTechnologies Pvt Ltd,"Job brief We are looking for a Full Stack Developer to produce scalable software solutions. You’ll be part of a cross-functional team that’s responsible for the full software development life cycle, from conception to deployment. As a Full Stack Developer, you should be comfortable around both front",2021-02-15T04:27:44Z
data analyst,Delhi,Growth Strategy Executive,Unnati,"Supporting today’s data driven business world, our client acts as a full-stack data intelligence platform which leverages granular and deep data from various sources, thus helping the decision-makers at the executive level. Their solutions include supply chain optimization, building footprints, trac",2022-06-01T06:12:55Z
data analyst,Delhi,Fullstack Developer- Python,Bondburry Recruitmenrt Pvt Ltd,"Company is among the fastest growing educational technology companies, with a global footprint. The company has a huge presence in India, South Africa, Indonesia and the Middle East. Job brief We are looking for a Full Stack Developer to produce scalable AI based software solutions. You’ll be part o",2021-04-22T11:37:28Z
data analyst,Delhi,Talent Acquisition Specialist,Unnati,"Supporting today’s data driven business world, our client acts as a full-stack data intelligence platform which leverages granular and deep data from various sources, thus helping the decision-makers at the executive level. Their solutions include supply chain optimization, building footprints, trac",2022-06-01T06:12:55Z
data analyst,Delhi,"Senior Analyst, Marketing Analytics",Bain & Company,"Position Summary The Senior Analyst, Data & Marketing Analytics, will be a key contributor in building the foundation of Bains marketing analytics ecosystem. This role offers a meaningful opportunity for an experienced analyst to take on broader responsibilities and contribute to strategic outcomes.",2025-06-01T18:44:51Z
data analyst,Delhi,Capital Market Associate,CBRE,"Capital Market Associate Job ID 200747 Posted 08-Jan-2025 Service line Advisory Segment Role type Full-time Areas of Interest Accounting/Finance, Capital Markets, Data & Analytics Location(s) Gurgaon - Haryana - India, New Delhi - Delhi - India Job Title: Associate Business Line: Capital Markets Loc",2025-01-10T05:50:50Z
data analyst,Delhi,Senior Product Content Analyst,AlphaSense,"About AlphaSense: The world’s most sophisticated companies rely on AlphaSense to remove uncertainty from decision-making. With market intelligence and search built on proven AI, AlphaSense delivers insights that matter from content you can trust. Our universe of public and private content includes e",2025-07-31T17:15:27Z
data analyst,Delhi,Intern - Industry Analyst Practice,Avasant,"About Avasant Avasant is a Los Angeles, California headquartered leading management consulting firm providing Strategic Sourcing, IT and Business Transformation and Global Strategy services to the global Fortune 1000. Since 2006, Avasant has negotiated over $250B in deals and operates in over 50 cou",2025-07-17T21:02:41Z
data analyst,Delhi,Senior BI Engineer (Luxembourg),Amazon,Are you passionate about data? Does the prospect of dealing with massive volumes of data excite you? Do you want to create the next-generation tools for intuitive data access for transportation operations? Amazon Transportation Services (ATS) is a the global middle-mile transportation organization w,2022-06-01T21:29:10Z
data analyst,Delhi,Staff Data Scientist,Careers at Tide,"ABOUT TIDE At Tide, we are building a business management platform designed to save small businesses time and money. We provide our members with business accounts and related banking services, but also a comprehensive set of connected administrative solutions from invoicing to accounting. Launched i",2025-07-29T17:09:54Z
data analyst,Delhi,Senior Business Intelligence Engineer (Luxembourg),Amazon,Are you passionate about data? Does the prospect of dealing with massive volumes of data excite you? Do you want to create the next-generation tools for intuitive data access for transportation operations? Amazon Transportation Services (ATS) is a the global middle-mile transportation organization w,2022-06-01T21:29:10Z
data analyst,Delhi,Business Intelligence Engineer (Luxembourg),Amazon,Are you passionate about leveraging data to deliver actionable insight that impacts daily business decisions for Amazon? Does the prospect of dealing with massive volume of data excite you? Amazon Fulfillment Technologies (AFT) powers the physical engine at the heart of Amazon Retail. AFT builds and,2022-06-01T21:29:11Z
data analyst,Delhi,Content Analyst,AlphaSense India,"About AlphaSense: The world’s most sophisticated companies rely on AlphaSense to remove uncertainty from decision-making. With market intelligence and search built on proven AI, AlphaSense delivers insights that matter from content you can trust. Our universe of public and private content includes e",2025-07-20T02:37:19Z
data analyst,Delhi,Senior Analytics Engineer,AlphaSense India,"About AlphaSense: The world’s most sophisticated companies rely on AlphaSense to remove uncertainty from decision-making. With market intelligence and search built on proven AI, AlphaSense delivers insights that matter from content you can trust. Our universe of public and private content includes e",2025-07-04T20:49:47Z
data analyst,Delhi,ServiceNow ITSM Business Analyst,NTT DATA Services,"Req ID: 334486 NTT DATA strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now. We are currently seeking a ServiceNow ITSM Business Analyst to join our team in Delhi,",2025-08-01T04:34:51Z
data analyst,Delhi,Data Scientist (Luxembourg),Amazon,"Are you a talented and inventive scientist with a strong passion about modern data technologies and interested to improve business processes, extracting value from the data? Would you like to be a part of an organization that is aiming to use self-learning technology to process data in order to supp",2022-06-01T21:29:11Z
data analyst,Delhi,"PPK Operations Senior Analyst (FP&A), PEG Practice",Bain & Company,"WHAT MAKES US A GREAT PLACE TO WORK We are proud to beconsistently recognizedas one of the world's best places to work, a champion of diversity and a model of social responsibility. We are currently ranked the 1 consulting firm on Glassdoors Best Places to Work list, and we have maintained a spot in",2025-05-15T18:37:55Z
data analyst,Delhi,PPK - Senior Analyst ( PEG - Global),Bain & Company,"ABOUT US Bain & Company is a global consultancy that helps the worlds most ambitious change makers define the future. Across 59 offices in 37 countries, we work alongside our clients as one team with a shared ambition to achieve extraordinary results, outperform the competition and redefine industri",2025-05-31T18:46:40Z
data analyst,Delhi,"PPK Operations - Senior Analyst, Strategy & Transformation Pract",Bain & Company,"WHAT MAKES US A GREAT PLACE TO WORK We are proud to be consistently recognizedas one of the world's best places to work, a champion of diversity and a model of social responsibility. We are currently ranked the 1 consulting firm on Glassdoors Best Places to Work list, and we have maintained a spot i",2025-06-05T18:44:54Z
data analyst,Delhi,PPK - Senior Analyst ( Strategy & Transformation ),Bain & Company,"ABOUT US Bain & Company is a global consultancy that helps the worlds most ambitious change makers define the future. Across 59 offices in 37 countries, we work alongside our clients as one team with a shared ambition to achieve extraordinary results, outperform the competition and redefine industri",2025-05-31T18:46:40Z
data analyst,Bangalore,Lead Data Analyst,Delta Air Lines,"Key Responsibilities: Data Analysis & Insights: Conduct deep-dive analysis on ACS digital tools, customer behavior, and operational performance to identify trends and areas for improvement. Performance Metrics & Reporting: Develop and maintain dashboards and key performance indicators (KPIs) to trac",2025-04-26T12:05:32Z
data analyst,Bangalore,Senior Analyst- Data Engineer,MUFG Global Service ,"About Us: MUFG Bank, Ltd. is Japans premier bank, with a global network spanning in more than 40 markets. Outside of Japan, the bank offers an extensive scope of commercial and investment banking products and services to businesses, governments, and individuals worldwide. MUFG Banks parent, Mitsubis",2025-06-25T10:30:19Z
data analyst,Bangalore,Data Analyst,mistay,"We are looking for a passionate certified Data Analyst. The successful candidate will turn data into information, information into insight and insight into business decisions. Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Dat",2025-06-06T20:45:39Z
data analyst,Bangalore,Data Analyst,Telamon HR Solutions,"We are looking for a Senior Data Analyst with a strong engineering background and expertise in data science to join our dynamic team. This role requires a combination of technical skills, analytical thinking, and problem-solving capabilities. You will be responsible for analyzing, scrubbing, and pri",2025-06-06T20:52:43Z
data analyst,Bangalore,Data Analyst,Vahak,"Who Are We? Vahak (https://www.vahak.in) is India s largest & most trusted online transport marketplace & directory for road transport businesses and individual commercial vehicle (Trucks, Trailers, Containers, Hyva, LCVs) owners for online truck and load booking, transport business branding and tra",2025-06-06T20:45:52Z
data analyst,Bangalore,Data Analyst,MVK Staffing Services Pvt Ltd,"Develop, validate, deliver, and maintain: o Operational business management KPIs o Regular / recurring / scheduled analysis reports o Analysis dashboards o Ad hoc analysis requirements and tasks o Convert written requirements into a finalized specification document and resulting delivered product (r",2025-06-06T20:46:16Z
data analyst,Bangalore,Data Analyst,Excellence and Eminence LLP,"We are looking for Data Analyst with 7  Years of Experience for our esteemed client for Bangalore Location Key Skills : Python, AWS, EMR, Hadoop and Apache Spark, Tableau, reporting packages This is an immediate requirement. Please apply if you can join within 20 days or close to 20 days. Roles and ",2025-06-06T20:42:37Z
data analyst,Bangalore,Data Analyst,SAZ India,"We are looking for a passionate certified Data Analyst. The successful candidate will turn data into information, information into insight, and insight into business decisions. Data Analyst responsibilities include: Interpreting data, analyzing results using statistical techniques Developing and imp",2025-04-04T23:21:07Z
data analyst,Bangalore,Data Analyst,Azurity Pharmaceuticals,"Data Analyst Responsibilities Include: • Interpreting data, analyzing results using statistical techniques. • Developing and implementing data analyses, data collection systems and other strategies that optimize statistical efficiency and quality. • Acquiring data from primary or secondary data sour",2025-07-29T17:05:52Z
data analyst,Bangalore,Data Analyst,Amicus Therapeutics,"Position Description Data Analyst Location: Remote/Bangalore Amicus Therapeutics is a global, patient-dedicated biotechnology company focused on discovering, developing and delivering high-quality medicines for people living with rare metabolic diseases. Position Summary Data analyst responsibilitie",2025-04-16T01:41:37Z
data analyst,Bangalore,Data Analyst,Amicus India,"Data Analyst Location: Remote/Bangalore Amicus Therapeutics is a global, patient-dedicated biotechnology company focused on discovering, developing, and delivering high-quality medicines for people living with rare metabolic diseases. Position Summary Data analyst responsibilities include conducting",2024-07-31T03:12:34Z
data analyst,Bangalore,Data Analyst,JazzHR Support Hiring,"employ is looking for a Data Analyst to join our team in our bangolre office. The Data Analyst is responsible for managing our master data set and developing respective reports/visualizations. The ideal person for this position has an exceptional eye for detail, expertise as a data analyst, and a so",2025-02-16T16:37:28Z
data analyst,Bangalore,Data Analyst,Techmantu Digital,"Techmantu is a 10 year-old digital media consultancy specializing in strategy, implementation, and operations in digital marketing and skilling. The Shared Services team plays a critical role in supporting multiple practice areas, including Techmantu Marketing and Techmantu Skilling, by enabling sea",2025-06-17T09:24:39Z
data analyst,Bangalore,Data Analyst,Obrimo Technologies,"Job Title: Data Analyst Experience: 5 Years Location: Bangalore Employment Type: Full-Time Job Overview: We are seeking a detail-oriented and analytical Data Analyst to join our team. The ideal candidate will have a strong foundation in data analysis, experience working with large datasets, and the ",2025-07-20T07:58:14Z
data analyst,Bangalore,Data Analyst,Almighty HRD Consultants,"Hi, We are hiring Data Analyst for our client MNC Company in Bangalore. Exp - 3- 5 yrs in Daxcode JD As a candidate for this certification, you should deliver actionable insights by working with available data and applying domain expertise. You should: Provide meaningful business value through easy-",2025-06-04T18:46:50Z
data analyst,Bangalore,Data Analyst,Chevron,"Total Number of Openings 3 About the position: A Data Analyst is responsible for gathering, analyzing and problem solving as it relates to data, types of data, and relationships among data elements within a business system or IT system and with business domain expertise. A Data Analyst provides expe",2025-07-02T20:31:49Z
data analyst,Bangalore,Data Analyst,Namaste Credit,"About the Role The following Job Specification is intended to reflect the nature, range and context of the work. It identifies the main requirements of the job but is not an exhaustive list of duties. The Data Analyst role is a vital role as to be a sole point of contact responsible for closely work",2020-09-19T01:45:32Z
data analyst,Bangalore,Data Analyst,Intelliatx Therapeutics,"Data Analyst – Job Decription Connecting people with each other and the right information is mission critical. Our Company develops innovative cloud-based technology to make it easier, more effective and more efficient to make the right connections. Our solutions put people in sync with each other a",2025-07-29T16:58:19Z
data analyst,Bangalore,Data Analyst,Multi Recruit,"We are looking for a Business Intelligence (BI)/Data Analyst to create and manage Power Bl and analytics solutions that turn data into knowledge. In this role, you should have a background in data and business analysis. If you are self-directed, passionate about data, and have business acumen and pr",2022-01-30T04:34:26Z
data analyst,Bangalore,Data Analyst,Clinchcloud Solutions,"Location: Remote (Work From Home) Salary: Up to 25,000 per month Employment Type: Full-time | Trainee/Internship About the Role: We are looking for a highly motivated and detail-oriented Data Analyst Trainee to join our growing team. This is a fantastic opportunity for recent graduates or entry-leve",2025-04-14T23:17:55Z
data analyst,Bangalore,Data analyst,Sadup Softech,"Must have skills 3 to 6 years Data Science SQL, Excel, Big Query - mandate 3 years Python/ML, Hadoop, Spark - 2 years Requirements • 3 years prior experience as a data analyst • Detail oriented, structural thinking and analytical mindset. • Proven analytic skills, including data analysis and data va",2024-06-01T09:41:50Z
data analyst,Bangalore,Data Analyst,Multi Recruit,Measure the sales effectiveness efforts using data science/app/digital nudges. Should be able to work on the clickstream data Should be well versed and willing to work hands-on various Machine Learning techniques Skills Ability to lead a team of 5-6 members. Ability to work with large data sets and ,2021-08-24T22:37:13Z
data analyst,Bangalore,Data Analyst,Graphene Services Pte Ltd,"About Graphene Graphene is a Singapore Head quartered AI company which has been recognized as Singapore’s Best Start Up By Switzerland’s Seedstarsworld, and also been awarded as best AI platform for healthcare in Vivatech Paris. Graphene India is also a member of the exclusive NASSCOM Deeptech club.",2021-10-13T05:52:44Z
data analyst,Bangalore,Data Analyst,Toss solutions India,"Positions: Data Analyst (Exp 1 to 3 year) Client: Flipkart Location: Bangalore About the team Flipkart is India’s largest eCommerce company and is defining eCommerce in the country. Flipkart’s vision is to make Analytics and Big Data part of its overarching competitive strategy, and push it up to de",2024-07-31T03:13:35Z
data analyst,Bangalore,Data Analyst,Cytiva Life Science,Be part of something altogether life-changing Working at Cytiva in the Life Sciences industry means being at the forefront of providing new solutions to transform human health. Our incredible customers undertake life-saving activities ranging from fundamental biological research to developing innova,2024-07-31T03:13:24Z
data analyst,Bangalore,Data Analyst,Jobdost,"About the role: We are looking for a motivated data analyst with sound experience in handling web/ digital analytics, to join us as part of the Kapiva D2C Business Team. This team is primarily responsible for driving sales and customer engagement on our website. This channel has grown 5x in revenue ",2023-10-02T13:22:30Z
data analyst,Bangalore,Data Analyst,Capco,"About the Role We are seeking a highly skilled and experienced Data Analyst with a strong background in the Banking, Financial Services, and Insurance (BFSI) domain. The ideal candidate will be proficient in Python, SQL, and SAS and possess a keen analytical mindset to derive insights from complex d",2025-08-01T08:15:16Z
data analyst,Bangalore,Data Analyst,Weekday,"This role is for Weekday's client. Job Summary: We are looking for a skilled Data Analyst with expertise in SQL, Python, and AWS Athena to extract, analyze, and interpret data for business insights. The role involves cross-functional collaboration, documentation, and continuous improvement of data p",2025-07-03T20:37:16Z
data analyst,Bangalore,Data Analyst,NETSACH GLOBAL,"Greetings from Netsach - A Cyber Security Company. We are looking for Data Analyst with 4 to 6yrs of experience, candidates preferred from LLM prompt with FMCG domain exp, and who can join immediately will be highly preferred. Job Title: Data Analyst Job Location- Bangalore Exp: 4 - 6yrs F2F Intervi",2025-04-16T20:26:16Z
data analyst,Bangalore,Data Analyst,Netsach Global,"Greetings from Netsach - A Cyber Security Company. We are looking for Data Analyst with 4 to 6yrs of experience, candidates preferred from LLM prompt with FMCG domain exp, and who can join immediately will be highly preferred. Job Title: Data Analyst Job Location- Bangalore Exp: 4 - 6yrs F2F Intervi",2025-04-19T01:46:24Z
data analyst,Bangalore,Data Analyst,Awign,We are looking for a result-driven candidate to join our analytics team as a Data Analyst. Duties And Responsibilities 1. Work closely with Operation Head to setup reporting structures using complex formula(s) over Google Sheets. 2. Should be able to use Google Apps Script towards creating simple ap,2020-10-15T02:16:09Z
data analyst,Bangalore,Data Analyst,BitClass,"BitClass, a VC funded startup (backed by the investors or Unacademy, Doubtnut, ShareChat, Meesho among others) in the domain of edtech, is looking for a data analyst to help in making better business decisions using information from the available data. The responsibility is to gather and prepare dat",2021-10-24T04:00:25Z
data analyst,Bangalore,Data Analyst,Vahan,"About Us At Vahan, we are building the first AI-powered recruitment marketplace for India’s 300 million-strong blue-collar workforce, opening doors to economic opportunities and brighter futures. Already India’s largest recruitment platform, Vahan is backed by marquee investors like Khosla Ventures,",2025-05-22T02:03:57Z
data analyst,Bangalore,Data Analyst,Kyndryl,"Who We Are At Kyndryl, we design, build, manage and modernize the mission-critical technology systems that the world depends on every day. So why work at Kyndryl? We are always moving forward - always pushing ourselves to go further in our efforts to build a more equitable, inclusive world for our e",2025-08-01T10:22:41Z
data analyst,Bangalore,Data Analyst,Amazon,"Data Analyst Job Description : About GlowRoad: GlowRoad is building India's most profitable social e-commerce platform where resellers share the catalog of products through their network on Facebook, Whatsapp, Instagram, etc and convert them to sales. GlowRoad is on a mission to create micro-entrepr",2021-11-12T04:18:09Z
data analyst,Bangalore,Data Analyst,UnitedHealth Group,"Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, yo",2025-07-30T11:17:36Z
data analyst,Bangalore,Data Analyst,R R Groups,"We are a dynamic IT company providing services in software development, web and mobile app solutions, and technical support. We are looking for a detail-oriented and analytical Data Analyst to join our growing team to help derive actionable insights from data and support business decision-making. Ke",2025-04-05T00:59:50Z
data analyst,Bangalore,Data Analyst,ECI,"ECI is the leading global provider of managed services, cybersecurity, and business transformation for mid-market financial services organizations across the globe. From its unmatched range of services, ECI provides stability, security and improved business performance, freeing clients from technolo",2025-06-23T03:07:37Z
data analyst,Bangalore,Data Analyst,Technogen,Job Code : JPC – 36740 We are looking for a creative data analyst who has strong experience in both data visualization and data workflow construction Analyst must be proficient in both Hadoop and Alteryx (Hadoop certification required) Analyst must have experience working with senior leadership to b,2024-07-31T03:16:31Z
data analyst,Bangalore,Data Analyst,CoHyre.ai | Hire at MACH Speed,"About Us: CoHyre.ai is an AI-powered Recruitment Automation Platform helping startups and growth-stage companies scale their hiring without scaling their HR teams. We specialize in rediscovering top talent, accelerating candidate shortlisting, and automating key parts of the hiring funnel. Our missi",2025-07-14T09:36:27Z
data analyst,Bangalore,Data Analyst,Axion Ray,"Axion Ray’s mission is to improve the quality and safety of engineered products - airplanes, electric vehicles, and medical devices, by creating the world’s best proactive management platform, powered by the latest advances in artificial intelligence. We're revolutionizing the way next-gen vehicles ",2025-03-23T16:51:58Z
